,University ,City,State,Zip Code,Type of School,Total Enrolment,Acceptance,Departments,Aeronautical Engineering,Agricultural and Biological Engineering,Biological Engineering,Chemical Engineering,Civil Engineering,Coastal and Oceanographic Engineering,Design Engineering,Computer Science,Computer Engineering,Cybersecurity,Electrical Engineering,Environmental Engineering,Software Engineering,Information Technology,Mechanical Engineering,Nuclear Engineering Sciences,Materials Science,Engineering Management,Nanotechnology,Manufacturing Systems Engineering,Macromolecular Science and Engineering,Petroleum Engineering,Telecommunications,Robotics,Supply Chain Management,Tuition Fee-M, Fall Deadline,Spring Deadline,App Fee,GPA,TOEFL ,IELTS ,PTE,GRE V,GRE Q,Email Address,Phone
1,Havard University,Cambridge,Massachusetts,*02138,Private university,,5.20%,Engineering,,,,,,,Design Engineering,Computer Science,,,Electrical Engineering,Environmental Engineering,,,Mechanical Engineering,,,,,,,,,,,"$41,832",15/12,0,$105.00,3.7,80,7,0,160,168,admissions@seas.harvard.edu ,617.495.2833
2,Massachusetts Institute of Technology,Cambridge,Massachusetts,*02139,Private university,,7.90%,Engineering,,,Biological Engineering,Chemical Engineering,Civil Engineering ,,,,,,Electrical Engineering and Computer Science,Environmental Engineering,,,Mechanical Engineering,Nuclear Science and Engineering,Materials Science and Engineering,,,,,,,,,"$46,704",15/12,0,$75,3.5,110,7.5,0,162,167, aagradinfo@mit.edu,617.253.1981
3,Stanford University,Stanford,California,94305,Private university,"16,136",4.70%,Engineering,,,,Chemical Engineering,Civil and Environmental Engineering,,,Computer Science,,,Electrical Engineering,,,,Mechanical Engineering,,Materials Science and Engineering,Computational and Mathematical Engineering,,,,,,,,"$64,050",01/09,0,$125,3.5,100,7,68,162,165,aa-admissions@stanford.edu," 
650.725.9825"
4,Cornell University,Ithaca,New York,14850,Private University,,14%,Engineering,,,,Chemical Engineering (M.Eng.),Civil and Environmental Engineering,,,,,,Electrical Engineering,Environmental Engineering,,,,,Materials Science and Engineering,,,,,,,,,"$29,500",31/01,0,$95,3.6,100,7,0,157,164,,607.255.5820
5,University of California Berkeley,Berkeley,California,94720,Public university,,14.80%,Engineering,,,,,Civil and Environmental Engineering,,,Computer Science,,,Electrical Engineering and Computer Sciences,,,,Mechanical Engineering,Nuclear Engineering,Materials Science & Engineering,Industrial Engineering & Operations Research,,,,,,,,"$20,800",15/12,0,$110,3,100,7,0,159,162,admissions@nuc.berkeley.edu,510.642.5760
6,University of Michigan,Ann Arbor,Michigan,,public university,"43,625",26.20%,Engineering,,,,Chemical Engineering (ChE),Civil Engineering,,,Computer Science and Engineering (CSE),,,,,,,Mechanical Engineering,Nuclear Engineering and Radiological Sciences (NERS),Materials Science and Engineering (MSE),,,,Macromolecular Science and Engineering,,,,,"$23,367",15/01,0,$90,3.5,100,6.5,0,154,165,gradservices@umich.edu,734.615.8177
7,Columbia University New York,New York,New York,10027,private,,6%,Engineering,,,,Chemical Engineering,Civil Engineering and Engineering Mechanics,,,Computer Science,,,Electrical Engineering,Earth and Environmental Engineering,,,Mechanical Engineering,,Materials Science and Engineering Program,Industrial Engineering and Operations Research,,,,,,,,"$42,768",15/02,01/10,$85,3.3,100,7,0,154,159,msadmissions@gmail.com,
8,University of Washington,Seattle,Washington,98195,public university,,55%,Engineering,,,,Chemical Engineering,Civil & Environmental Engineering,,Human Centered Design & Engineering,Computer Science & Engineering,,,Electrical Engineering,,,,Mechanical Engineering,,Materials Science & Engineering,,,,,,,,,"$27,400",15/12,0,$85,3.5,92,7,0,154,162,gradadvising@aa.washington.edu,206.685.7250
9,University of California Los Angeles UCLA,California,Los Angeles,90095,Public university,"43,239",17.30%,Engineering,,,,,Civil and Environmental Engineering,,,Computer Science,,,Electrical Engineering,,,,,,Materials Science and Engineering,,,,,,,,,"$31,011",01/12,0,$110,3.5,92,7.5,0,154,166,gradadm@cs.ucla.edu,310.825.6830
10,University of Wisconsin Madison,Madison,Wisconsin,53706,publicuniversity,"43,193",47.50%,Engineering,,,,,,,,Applied Computing & Engineering Data Analytics,,,Electrical Engineering: Power Engineering,Environmental Engineering,,,Mechanical Engineering: Polymer Science,,,Engineering Management,,Manufacturing Systems Engineering,,,,,,"$48,000",01/06,0,$62,3,92,7.5,73,151,151,onwisconsin@admissions.wisc.edu,608.262.3961
