u_id,University ,Zip Code,Type of School,Total Enrolment,Acceptance,Departments,Tuition Fee-M, Fall Deadline,Spring Deadline,App Fee,GPA,TOEFL ,IELTS ,PTE,GRE V,GRE Q,Email Address,Phone
1,Havard University,*02138,Private university,,5.20%,1,"$41,832",15/12,0,$105.00,3.7,80,7,0,160,168,admissions@seas.harvard.edu ,617.495.2833
2,Massachusetts Institute of Technology,*02139,Private university,,7.90%,1,"$46,704",15/12,0,$75,3.5,110,7.5,0,162,167, aagradinfo@mit.edu,617.253.1981
3,Stanford University,94305,Private university,"16,136",4.70%,1,"$64,050",01-09,0,$125,3.5,100,7,68,162,165,aa-admissions@stanford.edu," 
650.725.9825"
4,Cornell University,14850,Private University,,14%,1,"$29,500",31/01,0,$95,3.6,100,7,0,157,164,,607.255.5820
5,University of California Berkeley,94720,Public university,,14.80%,1,"$20,800",15/12,0,$110,3,100,7,0,159,162,admissions@nuc.berkeley.edu,510.642.5760
6,University of Michigan,,public university,"43,625",26.20%,1,"$23,367",15/01,0,$90,3.5,100,6.5,0,154,165,gradservices@umich.edu,734.615.8177
7,Columbia University New York,10027,private,,6%,1,"$42,768",15/02,01-10,$85,3.3,100,7,0,154,159,msadmissions@gmail.com,
8,University of Washington,98195,public university,,55%,1,"$27,400",15/12,0,$85,3.5,92,7,0,154,162,gradadvising@aa.washington.edu,206.685.7250
9,University of California Los Angeles UCLA,90095,Public university,"43,239",17.30%,1,"$31,011",01-12,0,$110,3.5,92,7.5,0,154,166,gradadm@cs.ucla.edu,310.825.6830
10,University of Wisconsin Madison,53706,publicuniversity,"43,193",47.50%,1,"$48,000",01-06,0,$62,3,92,7.5,73,151,151,onwisconsin@admissions.wisc.edu,608.262.3961
11,University of Pennsylvania,19104,Private university,,9.40%,1,"$25,958",15/11,0,$80,3.5,100,7.5,63,160,167,sherry@seas.upenn.edu,215.898.4542
12,Yale University,*06520,Private university,,6.30%,1,,02-01,0,$130,3.6,100,7,70,155,160,graduate.admissions@yale.edu,203.432.2771
13,University of Texas Austin,78712,public university,"50,950",39.70%,1,"$36,060",15/12,15/12,$90,3.5,79,6.5,,157,165,intladm@austin.utexas.edu,512.475.7391
14,University of Florida,32611,Public  university,"52,519",47.10%,1,"$32,458",0,0,$30,3.6,80,6,0,154,160,gradschool@ufl.edu,352.392.6622
15,University of California San Diego,92093,public university,"33,735",38.30%,1,"$31,563",15/12,0,$110,3,80,6.5,65,157,160,gradinfo@cs.ucsd.edu,858.822.5978
16,Duke University,27708, private university,"14,950",10.40%,1,"$37,741",31/01,15/10,$80,3,100,7,0,156,169,hwansoo.kim@duke.edu,919.684.3913
17,Michigan State University,48824,public university,"50,543",66.10%,1,"$42,768",31/12,15/09,$50,3,95,6.5,0,153,164,trinkle4@cse.msu.edu,517.355.5113
18,University of Chicago,"60637,",private  university,"14,467",7.60%,1,,01-12,0,$90,3,90,7,0,151,161,jennyadams@uchicago.edu,773.834.3388
19,University of North Carolina Chapel Hill,"27599,",public  university ,"29,135",30%,1,"$51,466",13/12,0,$85,3,79,7,0,151,151,gradadmissions@unc.edu,919.966.2611
20,Johns Hopkins University,21218, private university ,"12,662",11.50%,1,"$50,410",15/02,15/09,$75,3.5,100,7,68,153,160,admissions@cs.jhu.edu.,410.516.8174
21,University of Illinois Urbana Champaign,61820,public  university,"44,087",62.40%,1,"$27,569",01-07,0,$90,3,102,6.5,0,153,160,engr-gpp@illinois.edu,217.244.2745
