id,name,zip_code,type_of_school,total_enrolments,acceptance,department_id,tuition_fee,fall_deadline,spring_deadline,application_fee,gpa,toefl,ielts,pte,grev,greq,email,phone_no
1,'Havard University',2138,'Private university',null,5.20,1,41832,2024/12/15,null,105,3.7,80,7,null,160,168,'admissions@seas.harvard.edu','617-495-2833'
2,'Massachusetts Institute of Technology',2139,'Private university',null,7.90,1,46704,2024/12/15,null,75,3.5,110,7.5,null,162,167,'aagradinfo@mit.edu','617-253-1981'
3,'Stanford University',94305,'Private university',16136,4.70,1,64050,2025/01/09,null,125,3.5,100,7,68,162,165,'aa-admissions@stanford.edu','650-725-9825'
4,'Cornell University',14850,'Private University',null,14,1,29500,2025/01/20,null,95,3.6,100,7,null,157,164,null,'607-255-5820'
5,'University of California Berkeley',94720,'Public university',null,14.80,1,20800,2024/12/15,null,110,3,100,7,null,159,162,'admissions@nuc.berkeley.edu','510-642-5760'
6,'University of Michigan',48109,'public university',43625,26.20,1,23367,2025/01/15,null,90,3.5,100,6.5,null,154,165,'gradservices@umich.edu','734-615-8177'
7,'Columbia University New York',10027,'private',null,6,1,42768,2025/02/15,2025/10/01,85,3.3,100,7,null,154,159,'msadmissions@gmail.com',null
8,'University of Washington',98195,'public university',null,55,1,27400,2025/12/15,null,85,3.5,92,7,null,154,162,'gradadvising@aa.washington.edu','206-685-7250'
9,'University of California Los Angeles UCLA',90095,'Public university',43239,17.30,1,31011,2025/01/12,null,110,3.5,92,7.5,null,154,166,'gradadm@cs.ucla.edu','310-825-6830'
10,'University of Wisconsin Madison',53706,'public university',43193,47.50,1,48000,2025/01/06,null,62,3,92,7.5,73,151,151,'onwisconsin@admissions.wisc.edu','608-262-3961'
11,'University of Pennsylvania',19104,'Private university',null,9.40,1,25958,2024/11/15,null,80,3.5,100,7.5,63,160,167,'sherry@seas.upenn.edu','215-898-4542'
12,'Yale University',6520,'Private university',null,6.30,1,null,2025/02/01,null,130,3.6,100,7,70,155,160,'graduate.admissions@yale.edu','203-432-2771'
13,'University of Texas Austin',78712,'public university',50950,39.70,1,36060,2024/12/15,2025/12/15,90,3.5,79,6.5,null,157,165,'intladm@austin.utexas.edu','512-475-7391'
14,'University of Florida',32611,'Public university',52519,47.10,1,32458,null,null,30,3.6,80,6,null,154,160,'gradschool@ufl.edu','352-392-6622'
15,'University of California San Diego',92093,'public university',33735,38.30,1,31563,2025/12/15,null,110,3,80,6.5,65,157,160,'gradinfo@cs.ucsd.edu','858-822-5978'
16,'Duke University',27708,'private university',14950,10.40,1,37741,2025/01/20,2025/10/15,80,3,100,7,null,156,169,'hwansoo.kim@duke.edu','919-684-3913'
17,'Michigan State University',48824,'public university',50543,66.10,1,42768,2024/12/20,2025/09/15,50,3,95,6.5,null,153,164,'trinkle4@cse.msu.edu','517-355-5113'
18,'University of Chicago',60637,'private university',1467,7.60,1,null,2025/12/01,null,90,3,90,7,null,151,161,'jennyadams@uchicago.edu','773-834-3388'
19,'University of North Carolina Chapel Hill',27599,'public university',29135,30,1,51466,2024/12/13,null,85,3,79,7,null,151,151,'gradadmissions@unc.edu','919-966-2611'
20,'Johns Hopkins University',21218,'private university',12662,11.50,1,50410,2024/02/15,2025/09/15,75,3.5,100,7,68,153,160,'admissions@cs.jhu.edu.','410-516-8174'
21,'University of Illinois Urbana Champaign',61820,'public university',44087,62.40,1,27569,2024/07/01,null,90,3,102,6.5,null,153,160,'engr-gpp@illinois.edu','217-244-2745'
22,'University of California Davis',95616,'public university',35415,38.20,1,28345,2025/01/15,null,110,3,80,7,null,154,165,'devanbu@cs.ucdavis.edu','530-752-0650'
23,'Princeton University',8544,'private university',8138,6.50,1,47220,2024/12/15,null,90,3.5,100,7,null,154,165,'gs@princeton.edu','609-258-5494'
24,'Purdue University',47907, 'private university',38770,49.20,1,30804,2025/01/01,2025/10/10,75,3.5,100,7.5,58,156,159,'admissions@purdue.edu','765-494-1776'
25,'New York University',10012,'Private university',null,31,1,32920,2025/02/15,2025/11/01,75,3.5,100,7,null,154,160,'gradadmissions@nyu.edu','212-992-4723'
26,'University of Southern California',90089,'Private university',43000,16.50,1,62540,2024/12/15,2025/09/09,85,3,90,6.5,null,154,160,'gradadm@usc.edu','213-740-4488'
27,'University of Maryland',20742,'Private university',37610,47.90,1,26640,2024/12/16,null,75,3,100,7,68,154,163,'gradschool@umd.edu','301-405-3644'
28,'Texas A&M University',77843,'public university',58577,69.20,1,17709,2025/01/03,2025/08/01,90,3.5,100,7,null,153,164,'ddesousa@tamu.edu','979-458-3870'
29,'University of Arizona',85721,'public university',42236,null,1,31100,2024/12/13,2025/06/01,95,3,100,7,60,158,160,'UA@engr.arizona.edu','520-621-6594'
30,'University of Virginia',22904,'public-private university',21238,29,1,65214,2024/12/15,2025/10/01,85,3.5,90,7,null,156,160,'gseasadmission@virginia.edu','434-982-2200'
31,'Carnegie Mellon University',15213,'Private university',13285,16.20,1,32704,2024/12/15,2025/10/01,70,3,88,6.5,null,156,160,'applygrad@cs.cmu.edu','412-268-3407'
32,'California Institute of Technology Caltech',91125,'Private university',2255,9,1,43710,2024/12/15,null,100,3.5,90,6.5,68,156,160,'gradofc@caltech.edu','626-395-6346'
33,'Ohio State University',43210,'public university',64868,55.50,1,29305,2024/11/01,2025/10/01,70,3.6,79,7,null,154,164,'gpadmissions@osu.edu','614-292-9444'
34,'Rutgers The State University of New Jersey',8901,'public university',66013,60.90,1,29521,2024/12/01,2025/10/01,65,3.2,83,7,null,154,164,'RUInternational@admissions.rutgers.edu','848-445-2212'
35,'Northwestern University',60208,'private university',20336,10.70,1,48624,2024/12/01,null,95,3.3,90,7,null,154,164,'esamgrad@northwestern.edu','847-491-5279'
36,'University of Pittsburgh',15260,'private university',34934,56.10,1,39410,2025/03/01,2025/07/01,45,3.5,100,7,null,156,158,'ssoeadm@pitt.edu','412-624-4141'
37,'Vanderbilt University',37235,'Private university',4134,8.80,1,43620,2024/12/15,2025/10/15,null,3.5,88,7,null,156,158,'apply@vanderbilt.edu','615-322-0236'
38,'Washington University Saint Louis',63130,'Private university',14210,17.10,1,61000,2025/03/01,2025/10/01,75,3,79,6,null,146,146,'admissions@wustl.edu','314-935-7974'
39,'University of California Irvine',92697,'Public university',30757,38.70,1,11220,2024/12/15,null,125,3,80,7,null,154,160,'GradAdmissionQuestions@uci.edu','949-824-4611'
40,'Arizona State University',85281,'Public university',83301,null,1,30682,2024/12/20,2025/07/20,90,3.5,90,6.5,null,146,166,'grad-ges@asu.edu','480-965-6113'
41,'Georgia Institute of Technology',30332,'Public university',25034,25,1,30004,2024/12/01,2025/08/01,85,3,100,7,null,154,160,'omscs@cc.gatech.edu','404-894-2983'
42,'University of Colorado Boulder',80309,'public university',32775,84.20,1,45238,2024/12/15,2025/09/01,70,3.5,100,7,null,157,161,'bursar@colorado.edu','303-492-5381'
43,'Tufts University',2155,'private university',10872,14,1,42408,2024/12/15,2025/09/01,75,3,80,6.5,null,145,163,'gradadmissions@tufts.edu','617-627-3395'
44,'Boston University',2215,'private university',null,29,1,45686,2024/12/15,2025/10/01,95,3.5,84,7,null,145,164,'enggrad@bu.edu','617-353-9760'
45,'University of Utah',84112,'public university',31515,81.70,1,24939,2025/04/01,2025/11/01,65,3.5,100,7.5,null,150,158,'info@coe.utah.edu','801-581-6911'
46,'North Carolina State University',27695,'public university',33989,43.70,1,15447,2024/12/15,2025/07/01,75,3,90,6.5,null,154,166,'graduate-school@ncsu.edu','919-515-2872'
47,'Virginia Polytechnic Institute and State University',24061,'public university',30598,70,1,13882,2024/12/20,2025/09/01,75,3.5,100,7.5,null,153,157,'grads@vt.edu','540-231-8636'
48,'University of California Santa Barbara',93106,'public university',23051,32.70,1,21985,2024/12/15,2025/01/03,80,3.5,100,7,null,161,167,'megrad@1.ucsb.edu','805-893-3011'
49,'University of Iowa',52242,'public university',31387,80.20,1,27272,2025/03/01,2025/08/01,100,3,81,7,68,151,152,'intlmail@uiowa.edu','319-335-1534'
50,'Iowa State University',50013,'public university',34732,86.90,1,22250,2025/03/01,2025/10/01,100,3,79,6.5,53,145,155,'grad_adm@cs.iastate.edu','515-294-1224'
51,'University of Georgia',30602,'public university',36130,55.80,1,34450,2025/04/15,2025/10/15,100,3.36,80,6.5,null,154,149,'deckles@uga.edu','706-542-3307'
52,'University of California Santa Cruz',95064,'public university',17866,57,1,25250,2025/03/15,2025/11/01,110,3.41,89,7,null,162,162,'traciemt@ucsc.edu','831-459-5737'
53,'University of Kentucky',40506,'public university',30131,68.60,1,13376,2025/02/01,2025/08/15,75,2.5,79,6.5,null,154,151,'rodney.andrews@uky.edu','859-257-0200'
54,'Colorado State University',80523,'public university',32236,80.50,1,24896,2025/06/01,2024/11/15,70,3.5,80,6.5,58,153,157,'stuart.tobet@colostate.edu','970-491-1672'
55,'University at Buffalo',14260,'public university',29850,57.80,1,22210,2024/12/20,2025/05/20,75,3,79,6.5,55,157,167,'maegrad@buffalo.edu','716-645-2334'
56,'Brown University',2912,'private university',8848,9,1,51152,2025/03/03,2025/12/15,200,3.67,90,7,null,157,160,'international@brown.edu','401-863-2378'
57,'Oregon State University',97331,'public university',28886,78,1,21255,2025/04/01,2025/10/01,85,3,80,6.5,null,146,150,'osuadmit@oregonstate.edu','541-737-4411'
58,'University of Rochester',14627,'private university',11060,35,1,13338,2025/01/15,2025/12/01,60,3,100,7,null,145,158,'victoria.heberling@rochester.edu','585-275-1626'
59,'University of California Riverside',92521,'public university',21539,56,1,16830,2025/01/05,2025/10/01,80,3,80,7,null,150,150,'isaac@cs.ucr.edu','951-827-2559'
60,'Emory University',30322,'private university',14769,23.60,1,63058,2024/12/01,null,75,3.7,80,7,68,null,null,'grad@gsas.emory.edu','404-727-4123'
61,'University of Nebraska Lincoln',68588,'public university',25006,69.90,1,21040,2025/03/01,2025/11/01,50,3,79,6.5,null,153,149,'kschindler1@unl.edu','402-472-1730'
62,'Florida State University',32313,'public university',41473,53.10,1,20033,2025/07/01,2025/11/01,30,3,80,6.5,55,150,159,'smclemore@fsu.edu','850-644-9283'
63,'University of Massachusetts Amherst',1003,'public university',28635,58.30,1,31000,2025/1/15,null,75,3,80,6.5,null,160,164,'gradadm@grad.umass.edu','413-545-0722'
64,'University of Missouri Columbia',65211,'public university',35441,78.60,1,40126,2024/03/15,2025/10/15,25,3,80,6,null,150,150,'TaylorCS@missouri.edu','573-882-6269'
65,'Pennsylvania State University',16802,'Public university',97494,50.30,1,17192,2024/12/15,2025/08/01,65,3,80,6.5,null,160,157,'jheltman@engr.psu.edu','814-863-3085'
66,'University of Kansas',66045,'public university',27983,88.40,1,20100,2024/12/15,2025/08/30,85,3,71,6.5,null,151,162,'mcenroe@ku.edu','785-864-2925'
67,'University of South Florida',33620,'Public university',48793,47.50,1,21126,2025/02/01,2025/08/01,30,3.5,79,6.5,null,151,159,'cunning@usf.edu','813-974-9540'
68,'University of Tennessee Knoxville',37849,'public university',27845,75,1,37930,2025/05/15,2025/10/01,60,3.3,80,6.5,null,144,156,'wtdavis@utk.edu','865-974-8890'
69,'University of Illinois Chicago',60607,'public university',29048,72.70,1,31626,2025/02/01,2025/07/15,70,3,80,6.5,54,150,164,'valenta@uic.edu','312-996-1452'
70,'Rice University',77005,'private university',6621,14,1,32000,2025/02/01,2025/10/15,85,3,90,7,null,156,166,'Atorres@rice.edu','713-348-2353'
71,'Washington State University Pullman',99164,'public university',28686,80.90,1,42208,2024/07/01,2025/10/01,75,3,93,7,null,160,164,'sidra@eecs.wsu.edu','509-335-6636'
72,'University of Oklahoma',73019,'public university',28966,81.30,1,15104,2025/04/01,2025/09/01,100,3,79,6.5,null,158,164,'admissions@ou.edu','405-325-2151'
73,'University of Oregon',97403,'public university',24125,75,1,14035,2024/12/01,null,50,3,100,7,null,153,151,'gradsch@uoregon.edu','541-346-5129'
74,'University of New Mexico',87104,'public research',27353,45,1,31715,2025/05/01,2025/10/01,50.00,2.25,80,6.5,null,146,151,'grad@unm.edu','505-277-2711'
75,'Dartmouth College',3755,'private university',6350,10.50,1,16665,2025/05/15,null,45,3,90,7,null,153,155,'admissions@dartmouth.edu','603-646-2606'
76,'University of Notre Dame',46556,'Catholic university',12124,18.30,1,47700,2025/01/15,null,75.00,3,80,7,null,144,153,'gradapp@nd.edu','574-631-7706'
77,'University of South Carolina',29208,'public university',32972,65,1,35504,2025/05/01,2025/10/01,100,3.5,95,7,null,148,160,'gradapp@mailbox.sc.edu','803-777-4243'
78,'George Mason University',22030,'public university',33723,67,1,26978,2025/10/01,null,65,3,80,6.5,null,165,163,'admissions@gmu.edu','703-993-2400'
79,'University of Miami',33124,'private university',16774,37.80,1,45600,2024/12/01,2025/10/15,65,3,80,6.5,null,143,154,'graduateschool@miami.edu','305-284-4154'
80,'Georgetown University',20057,'private university',17858,16.40,1,1928,2025/01/15,2025/10/01,90,3,80,7,null,158,163,'gradmail@georgetown.edu','202-687-5974'
81,'University of Connecticut',6269,'public university',31119,50,1,1879,2024/12/20,2025/10/15,75,3,79,6.5,53,153,157,'gradschool@uconn.edu','860-486-3617'
82,'University of Houston',77204,'research university',42704,63,1,23077,2025/01/02,2025/09/01,75,3,79,6.5,null,151,159,'admissions@uh.edu','713-743-1010'
83,'George Washington University',20052,'private university',25613,39.50,1,50700,2025/01/15,2025/09/01,75,30,80,6,53,155,151,'1@gwu.edu','202-994-1000'
84,'University of Cincinnati',45220,'public',43691,76,1,13609,2025/01/15,null,75,3,100,6.5,null,153,144,'grad.info@uc.edu','513-556-4335'
85,'Brigham Young University',84602,'private university',29672,49,1,11970,2025/02/15,null,50,3.3,85,7,null,154,158,'gradstudies@byu.edu','801-422-4091'
86,'Temple University',19121,'public university',37788,61.70,1,26825,2024/10/01,null,75,3,79,6.5,53,152,152,'gradengr@temple.edu','215-204-7800'
87,'Louisiana State University',70803,'public',30451,75,1,27822,2025/01/01,2025/10/15,50.00,3.2,79,6.5,null,145,155,'gradadm@lsu.edu','225-578-6219'
88,'Case Western Reserve University',44106,'Private university',11771,38.30,1,13000,2025/02/01,2025/10/01,50.00,3,90,7,null,154,158,'casemed-admissions@case.edu','216-368-4580'
89,'Indiana University/Purdue University Indianapolis',46202,'Private university',38770,69,1,19011,2025/04/01,2025/10/01,65,3,79,6.5,null,160,160,'oia@iupui.edu','317-274-4591'
90,'University of North Texas',76203,'public institution',36486,62.10,1,13470,2025/01/15,2025/09/15,85.00,3,90,7,null,150,155,'international@unt.edu','940-565-2922'
91,'Syracuse University',13244,'private university',21492,53.20,1,24984,2025/06/01,2025/10/15,75,3.3,80,6.5,null,148,162,'orange@syr.edu','315-443-3611'
92,'Wayne State University',48202,'Public university',25619,77.30,1,35000,2024/05/01,2025/01/01,null,3,79,6.5,null,150,155,'escope@wayne.edu','313-577-0409'
93,'University of Alabama Birmingham',35294,'public university',17189,85.70,1,17294,2024/06/01,2025/10/01,60.00,3,80,6,59,150,150,'sawatts@uab.edu','205-934-2045'
94,'Utah State University',84322,'public university',27662,97.80,1,18207,2025/03/15,2025/10/15,55,3,79,6,null,149,158,'graduateschool@usu.edu','435-797-8340'
95,'Virginia Commonwealth University',23284,'public university',31242,68.90,1,44938,2024/07/01,2025/11/01,65,3,80,6.5,65,148,148,'gdhillon@vcu.edu','804-828-1737'
96,'University of Vermont',5405,'public university',12856,73.40,1,38160,2025/02/01,2025/10/15,55.00,3.67,80,6.5,null,154,156,'txia@uvm.edu','802-656-3331'
97,'University of Central Florida',32816,'public university',60767,49.60,1,35822,2025/01/15,2025/07/01,31.00,3,91,7,null,146,144,'gradadmissions@ucf.edu','407-823-2766'
98,'Drexel University',19104,'Private university',26359,76,1,12847,2024/06/13,null,75,3,100,7,null,153,160,'enroll@drexel.edu','215-895-6700'
99,'Kansas State University',66506,'Public',24766,95,1,20439,2024/01/08,2025/08/01,75,3,79,6.5,58,145,155,'grad@k-state.edu','785-532-6191'
100,'Rensselaer Polytechnic Institute',12180,'Private',7028,38,1,46700,2025/01/01,2025/08/15,75,3,100,7,68,157,163,'gradadmissions@rpi.edu','518-276-6216'
101,'University of Alabama',35487,'Public',36155,51,1,20755,2025/02/28,2025/06/30,60,3,79,6.5,59,150,150,'gradschool@ua.edu','205-348-5921'
102,'Clemson University',29634,'Public',22698,52,1,10275,2025/01/15,2025/09/15,90,3.4,100,7,null,155,165,'grdapp@clemson.edu','864-656-3195'
